ctxkey,pattern,histlen,pc,bw,bctx
12821,447244294,6,18418864,2,18418855
13599,109835270,6,22269318,2,18727565
1568,362987529,9,27666358,2,18692168
27,473421852,28,21824893,2,139952163417659
8653,132721674,10,18678494,2,18678097
9715,207674383,15,21938146,2,19030865
1719,224041993,9,21919699,2,18493117
1719,109397007,15,21919554,2,18493117
1729,258160650,10,18529603,2,18678405
7683,478289939,19,21903104,2,21902733
3969,434778122,10,21948351,2,21949993
5166,482081798,6,21918886,2,18530100
1719,330938377,9,21919722,2,18493117
10930,466798602,10,21883654,2,21872640
14149,404983827,19,21965822,2,22079719
6871,476313614,14,21944883,2,28456723
3141,434639881,9,21811492,2,18519001
7279,248529937,17,18493346,2,21919535
13906,514743313,17,21884913,2,21883376
9165,417941513,9,18539130,2,18539199
9278,233480201,9,18461557,2,18493566
6756,97006598,6,21798407,2,139952163848946
8135,291020806,6,26508980,2,18727955
8979,188538906,26,22060762,2,22060785
5648,432057363,19,22040107,2,22040048
69,519233542,6,18461891,2,18538681
14199,485434394,26,22062788,2,22064429
14539,216747032,24,22136544,2,22136219
14793,229350417,17,22104221,2,22103753
6396,127543302,6,22033690,2,22033572
912,190344201,9,18992939,2,18478684
7455,121357318,6,18869847,2,19003709
13467,356081674,10,18467555,2,21905017
6459,233310229,21,26228747,2,19245373
85,43576333,13,21902692,2,18676427
10392,166257688,24,21851844,2,21850872
14030,154664982,22,22008455,2,25940180
11142,521713673,9,21774461,2,18490312
6143,318492700,28,18902835,2,19004535
9740,269060124,28,22053224,64,21903647
14311,165396489,9,21962866,2,21950013
1126,220770332,28,27917140,64,21903597
4854,208339974,6,18990208,2,18495474
27,121757724,28,21824856,2,139952163417659
2320,332551174,6,21774396,2,18410486
1085,317982748,28,22226871,2,22234091
12259,45051925,21,22133272,2,22137253
7706,353036312,24,21774461,2,22279620
982,157928462,14,21870020,2,21946214
2434,59126803,19,21903460,2,21903594
7269,37393414,6,21774396,2,19070381
6721,526763027,19,19003917,2,22279709
10233,200502282,10,21774396,2,139952163441305
7275,228203540,20,21965132,2,22079819
16347,265110542,14,21774396,2,21894661
12504,305231878,6,21849670,2,61699872
10803,206102544,16,21903104,2,25939921
6459,408879132,28,26228747,2,19245373
12753,441849880,24,21935045,2,21935025
15609,325529613,13,22167795,2,21774433
16144,57747488,32,21935076,64,21651760
912,262502419,19,18992907,2,18478684
2821,324390926,14,18869855,2,19003775
12080,477636640,32,21815784,2,22179986
7893,264131599,15,18434756,2,18434989
14662,157839369,9,18691872,2,25941212
14097,257638424,24,18478550,64,21907656
3479,107681798,6,18997025,2,21904253
14921,3617828,36,21910959,64,21911003
13379,178371593,9,22249694,2,18710119
13803,434164745,9,22074395,2,22074435
1668,68233225,9,28463204,2,28463386
7683,89815051,11,22191168,2,21902733
10803,224500750,14,22214273,2,25939921
12682,524940298,10,28458345,2,21907576
6509,91272201,9,26473793,2,18713657
4821,426471430,6,21907716,2,21774433
5387,500780038,6,18484856,2,18494627
10917,21485581,13,22281271,2,19070671
5611,326531087,15,18870307,2,19003857
6470,404075534,14,28461990,2,18713810
11282,366479370,10,21925852,2,21925072
13116,472648717,13,22264864,2,18767256
14751,409192476,28,21774396,64,21912008
10802,2309130,10,22111635,2,18768260
25,131323921,17,18489636,2,21774391
4039,359721994,10,21922983,2,19247841
4039,183632906,10,27677211,2,19247841
539,24296458,10,18996028,2,21774433
2434,451859474,18,21903507,2,21903594
12682,70477830,6,28458464,2,21907576
4390,7513101,13,27694945,2,61699872
15564,226693133,13,18655262,2,18691844
12753,532973587,19,21935045,2,21935025
4821,204131334,6,21907565,2,21774433
863,464149510,6,18992445,2,21774433
7616,463493130,10,18573609,2,18710866
3041,340278289,17,22280839,64,19078701
16144,193043488,32,21935076,64,21651760
352,470136846,14,22228148,2,22227108
14030,333332499,19,22008455,2,25940180
13803,476157961,9,22073941,2,22074435
11213,298895366,6,21803385,2,22137253
9194,480015379,19,22105125,2,21946586
12682,252778513,17,28458345,2,21907576
4637,492353546,10,18992939,2,18992715
1190,289366044,28,21808582,2,21912324
5512,158562315,11,22098872,2,22098794
7944,454269958,6,25940053,2,25940200
9837,510340106,10,21774415,2,19046323
12682,475141133,13,28458345,2,21907576
6582,306925578,10,22249055,2,28452114
6756,206620678,6,21798374,2,139952163848946
539,129223699,19,18996000,2,21774433
12834,71896074,10,22008427,2,25940180
8691,210496518,6,18687708,2,18469155
8089,186275850,10,21901345,2,18996237
8710,357947409,17,22114527,2,21902816
14548,90338323,19,18443236,2,18443104
12504,339628064,32,27514728,2,61699872
5648,516228132,36,22040233,2,22040048
7867,57769994,10,21774396,2,139952163418267
12682,338282509,13,28458464,2,21907576
352,470925334,22,22228148,2,22227108
12682,59077648,16,28458464,2,21907576
5505,113199117,13,28463362,2,28462117
12682,98727938,2,28458464,2,21907576
12682,314798086,6,28458464,2,21907576
12682,419110922,10,28458464,2,21907576
1067,22174731,11,18494534,2,28345339
3898,343020557,13,18992415,2,22035168
10803,530984981,21,22214273,2,25939921
8089,242369545,9,21774343,2,18996237
8390,345553930,10,18467555,2,18519014
14493,22090761,9,21947770,2,18622599
6217,36077582,14,21774741,2,20766605
1303,486026250,10,18995231,2,22019311
10172,274894854,6,18624456,2,22142270
2408,495084562,18,21774415,2,139952163856040
16246,72668192,32,21774415,64,18870342
14743,178143264,32,21965132,64,22280848
4069,472714264,24,25939898,2,18437797
4548,329156627,19,18902805,2,19003980
4395,215148550,6,18713327,2,21774433
3339,306974741,21,25946411,2,22135949
3901,480702496,32,21796211,2,21833583
10233,244368397,13,21912997,2,139952163441305
1845,69159952,16,19003824,2,22279663
563,20570118,6,21913199,2,22107905
11879,361469961,9,21808689,2,21911663
12682,358028305,17,28458314,2,21907576
7867,216417293,13,21944883,2,139952163418267
2362,158852113,17,18495635,2,28461770
10233,226113542,6,21912687,2,139952163441305
7969,301585430,22,21774461,2,25939921
10875,497637392,16,22246771,2,19031699
5307,408799248,16,22018037,2,19052323
12682,30994438,6,28458345,2,21907576
534,59862018,2,21913372,2,22107940
2765,401143826,18,18655685,2,22235131
4857,295586842,26,21954831,2,21958231
12682,120674306,2,28458345,2,21907576
3654,440024085,21,21774438,2,19003940
12682,320052230,6,28458345,2,21907576
5611,313882648,24,18870307,2,19003857
4028,350447622,6,18467446,2,61699872
9079,161484813,13,21972068,2,25939921
8470,43959320,24,21962951,2,21962994
16360,362250276,36,22142661,2,19078720
15681,341972000,32,18465874,2,28457675
11142,70523918,14,21774415,2,18490312
15735,226119716,36,25940053,2,25939921
715,348144649,9,21809284,2,18526741
9194,370344984,24,22105125,2,21946586
10233,35289098,10,21914320,2,139952163441305
6143,530774044,28,18902835,2,19004535
10803,451108878,14,21903002,2,25939921
10233,171164682,10,21913209,2,139952163441305
563,42455058,18,21913558,2,22107905
534,305178635,11,21913209,2,22107940
11615,344070165,21,18533777,2,18533623
2434,50142221,13,21903507,2,21903594
2470,284292105,9,18460551,2,22251362
15601,310072329,9,22250278,2,22249789
9837,189705230,14,21774461,2,19046323
14091,118748169,9,21858277,2,21902733
8321,414257161,9,21865132,2,21865185
6143,339896348,28,18902835,2,19004535
2434,64920593,17,21903507,2,21903594
5512,498736134,6,22098858,2,22098794
8916,178946057,9,21774741,2,21266610
12600,211296265,9,21913357,2,21913456
10137,433440785,17,18711996,2,21962771
16130,295370772,20,21819918,2,27388580
534,395474953,9,21913558,2,22107940
7276,119567386,26,21968831,2,21971918
3156,347256850,18,22143331,2,28456788
9764,9583648,32,21825124,64,21825132
534,29500418,2,21913558,2,22107940
1890,104964105,9,22139700,2,61702144
7706,437028890,26,21774438,2,22279620
9040,202415113,9,21834967,2,21905038
874,42161166,14,18490346,2,22278696
5890,476592139,11,21902970,2,22115680
10112,54252576,32,22181116,64,21853170
8725,70388755,19,21817359,2,21988285
14751,336086048,32,21774396,64,21912008
15884,491540499,19,18454953,2,18669998
534,159469574,6,21913372,2,22107940
4402,263452681,9,21774343,2,139952163852594
13906,456241162,10,21884903,2,21883376
12034,205688841,9,28461822,2,20766646
9079,520046616,24,21968831,2,25939921
10302,340953105,17,28344944,2,27677190
10803,321515534,14,21903048,2,25939921
6948,64653325,13,21815351,2,18467118
192,222339104,32,21935076,64,21651760
9362,62316572,28,20983724,2,20767824
15470,41881626,26,21807166,64,21806430
10970,53524499,19,21894631,2,21997196
11035,179734560,32,22025059,2,25939921
10532,395926538,10,28403464,2,28403504
4857,21793820,28,21954831,2,21958231
8977,354631700,20,21870020,2,18748029
10112,228802586,26,22182196,64,21853170
752,59805702,6,139952163855622,2,18623082
14793,319089685,21,22104221,2,22103753
3901,246326304,32,21795965,2,21833583
9976,444615704,24,18990208,64,18691789
5424,228107282,18,18624582,2,61705184
15504,400803866,26,22058765,2,22058096
5611,250819599,15,18870307,2,19003857
16142,140101645,13,22210371,2,22264564
16142,365629452,12,22210371,2,22264564
16129,152876068,36,25939783,64,22142739
11223,124990477,13,21903104,2,21891809
2408,72718368,32,21774654,2,139952163856040
16142,278192143,15,22210371,2,22264564
13799,430563340,12,18494512,2,22109959
1926,52989965,13,25940165,2,22248412
6143,371991578,26,18902835,2,19004535
4312,167825426,18,25997348,2,25997384
15477,168483846,6,21834967,2,21834669
4872,226521110,22,21910926,2,21909184
12808,289016841,9,28463221,2,28463164
3922,181952518,6,21863714,2,61699872
2472,125928457,9,21774415,2,21907818
41,489850886,6,22250898,2,18565839
5426,396023814,6,22098834,2,22098794
8056,178390022,6,22008621,2,19045898
11895,504072198,6,18714094,2,21911679
14149,404985877,21,21965822,2,22079719
2408,134027296,32,21774654,2,139952163856040
14798,79391753,9,18573435,2,18573406
8321,363918342,6,21865331,2,21865185
8781,272295946,10,22136168,2,22139683
10930,312659977,9,21883711,2,21872640
4390,181887008,32,21936166,2,61699872
15311,353568788,20,21903490,2,21903735
7705,400275462,6,22190462,2,21902821
14040,179650582,22,22008988,2,25940180
7359,121791494,6,22279704,2,19004467
1006,77535260,28,28461258,2,22110086
14600,381210652,28,19031513,2,19031876
2310,354569222,6,22279607,2,18870570
7353,304758795,11,18655262,2,18654875
14600,6922257,17,19031513,2,19031876
8056,228049934,14,22008543,2,19045898
11142,189600781,13,21774415,2,18490312
16175,174700576,32,21774415,2,21844025
1691,440128528,16,21912908,2,21834219
16151,438966278,6,21849670,2,21849237
9077,4660246,22,22143331,2,19046483
1890,93366281,9,22139436,2,61702144
5166,3346438,6,21918598,2,18530100
4312,486792211,19,25997201,2,25997384
7507,79856650,10,28463005,2,28462961
11298,365646867,19,26136979,2,25956118
6137,161489926,6,28466341,2,22269051
6077,303390746,26,22109757,64,22053243
1845,446896141,13,19003807,2,22279663
12118,332104713,9,28466373,2,61699872
5826,6137872,16,28403464,2,28403478
3901,316281888,32,21796211,2,21833583
11879,84876304,16,25939898,2,21911663
4855,389717009,17,18870307,2,19003775
3901,510593056,32,21795965,2,21833583
2307,125899797,21,22136199,2,139952163856067
10744,107439128,24,22142737,2,19078720
12531,308878342,6,22073941,2,22073903
8109,412957724,28,22053224,64,22053212
15060,432783370,10,21930715,2,21931382
11129,250631200,32,22180475,2,25939921
12834,255467526,6,22008467,2,25940180
3041,435072036,36,22280839,64,19078701
14923,4638748,28,22074211,64,22011979
4390,292503584,32,21936166,2,61699872
10930,287531017,9,21883846,2,21872640
15504,498291740,28,22058765,2,22058096
357,391496728,24,22006750,64,22005388
15060,503015430,6,21931265,2,21931382
4753,371224590,14,18749359,2,22213433
14811,292067346,18,21994809,2,19030985
192,450611228,28,21935076,64,21651760
10453,326636554,10,22208439,2,25939921
11103,235478022,6,21774396,2,21774433
7703,367000593,17,19003714,64,19003885
15912,194016282,26,21964257,64,22247661
3141,197961745,17,21811492,2,18519001
16031,507215878,6,19247256,2,19250781
7683,61111310,14,21903002,2,21902733
6119,29091850,10,22208654,2,28455553
6143,412453920,32,18902835,2,19004535
9238,323639302,6,19247832,2,19250700
8109,191133728,32,22053224,64,22053212
2434,355086353,17,21903490,2,21903594
5611,310177811,19,18870307,2,19003857
5890,249762830,14,21903002,2,22115680
7706,36737041,17,21774415,2,22279620
2434,299640849,17,21903460,2,21903594
2671,357755910,6,22208515,2,22205901
3339,360138773,21,25946332,2,22135949
