ctxkey,pattern,histlen,pc,bw,bctx
4038,399690758,6,18446744071585132249,2,18446744071585949062
9096,98813958,6,18446744071586059701,2,18446744071586915742
12570,161574918,6,140323041772294,2,140323408147420
11443,518644742,6,18446744071586017268,2,18446744071586017129
7850,487803913,9,18446744071586028903,2,18446744071585167340
7930,335560714,10,18446744071586030661,2,18446744071585151288
15361,40627206,6,18446744071585854490,2,18446744071585554577
2025,112775174,6,18446744071586030333,2,18446744071586039899
5560,170400774,6,18446744071585611521,2,18446744071585614994
9693,169517062,6,18446744071585949392,2,18446744071585132241
14162,177802246,6,18446744071585581928,2,18446744071585604498
5245,281662470,6,18446744071585235540,2,18446744071585236075
7850,75001862,6,18446744071586028973,2,18446744071585167340
11443,49017866,10,18446744071586017356,2,18446744071586017129
1475,25370633,9,18446744071585611635,2,18446744071585611411
4279,163124234,10,18446744071585150858,2,18446744071585138379
12682,464592902,6,18446744071585982740,2,18446744071579402154
977,23307270,6,140322915192707,2,140322915190447
2240,297497606,6,18446744071586035172,2,18446744071586035078
10529,519071753,9,18446744071585429762,2,18446744071585235323
11216,377140230,6,18446744071585941317,2,18446744071585949694
701,438879238,6,18446744071579401016,64,18446744071586044161
8549,361406474,10,18446744071585852597,2,18446744071585554503
15603,167949322,10,18446744071585158074,2,18446744071585164177
6053,515560454,6,18446744071585993232,2,18446744071586041555
12682,28963850,10,18446744071585982786,2,18446744071579402154
6553,137485322,10,18446744071585982702,2,18446744071579421227
3904,227550214,6,18446744071585235209,2,18446744071585234558
9749,188923913,9,140323041630842,2,140322915213861
7711,393456646,6,18446744071585118232,2,18446744071586915887
9749,437304326,6,140323041630842,2,140322915213861
5039,261146630,6,18446744071586040987,2,18446744071585134929
6099,166341642,10,18446744071586023954,2,18446744071586001865
13080,459886598,6,140323041803515,2,140322915289302
13474,336948241,17,18446744071579341967,2,18446744071586916112
348,298462218,10,18446744071585981749,2,18446744071579421184
6783,171813903,15,18446744071579362105,2,18446744071579343845
2240,458777609,9,18446744071586035228,2,18446744071586035078
9749,254459914,10,140323041630842,2,140322915213861
13644,169399302,6,18446744071586015593,2,18446744071586014896
7850,425341958,6,18446744071586028987,2,18446744071585167340
11238,5343242,10,18446744071579221310,2,18446744071586915742
1523,57004054,22,140323391038324,2,140323393521447
11249,533872646,6,18446744071586041603,2,18446744071586040825
11781,429626374,6,18446744071585240198,2,18446744071585931781
14339,124402697,9,18446744071585238902,2,18446744071585206753
2105,493065225,9,140323391309503,2,140323398225421
12107,404873222,6,18446744071580403320,2,18446744071580403311
6648,412867594,10,18446744071586031123,2,18446744071585947832
6590,273848326,6,18446744071585234629,2,18446744071585234134
2623,271638534,6,18446744071586016944,2,18446744071586004381
12771,176391174,6,18446744071585962381,2,18446744071586050415
7426,212122650,26,140323390768887,64,140323391482740
1281,156361743,15,18446744071579220372,2,18446744071579221033
9028,466319366,6,18446744071585233028,2,18446744071585206964
38,361384969,9,18446744071586006567,2,18446744071586004510
3320,436265990,6,18446744071585589790,2,18446744071585581384
1475,469257222,6,18446744071585611558,2,18446744071585611411
4868,412866566,6,18446744071585930477,2,18446744071585216464
10603,417363974,6,18446744071586036054,2,18446744071586036019
6419,43685894,6,18446744071585233291,2,18446744071585234043
2195,528517126,6,18446744071580211693,2,18446744071580474869
2195,350911497,9,18446744071585161073,2,18446744071580474869
7850,60333062,6,18446744071586029124,2,18446744071585167340
8907,95793176,24,18446744071579334887,2,18446744071586904789
1339,78770182,6,140322915331107,2,140322915328975
6051,345034758,6,18446744071586754335,2,18446744071585554503
2240,402737158,6,18446744071586035307,2,18446744071586035078
6739,382315526,6,18446744071586016509,2,18446744071580408847
348,69786633,9,18446744071585982002,2,18446744071579421184
1869,149624838,6,18446744071585930775,2,18446744071585932135
10662,53091334,6,18446744071579373372,2,18446744071579341442
2240,51566598,6,18446744071586035089,2,18446744071586035078
186,373494793,9,18446744071585239627,2,18446744071585240300
6780,49459206,6,18446744071585991766,2,18446744071585991752
16034,260590620,28,140323390891123,2,140323387757936
8488,416502801,17,18446744071579221125,2,18446744071586248624
7251,260746246,6,18446744071579370223,2,18446744071579412947
8265,318891014,6,140323041773767,2,140322915298115
11637,38382614,22,18446744071579371454,2,18446744071579371301
11752,302610442,10,140323393804558,2,140323393804700
15797,531105798,6,18446744071580505226,2,18446744071581813179
13636,479443974,6,18446744071586024223,2,18446744071579402008
8592,31145990,6,18446744071585239599,2,18446744071586063872
1995,91387910,6,18446744071585584348,2,18446744071585584521
14089,142288906,10,18446744071585991834,2,18446744071585915849
11332,140366867,19,18446744071585554477,2,18446744071586248632
12825,323602438,6,18446744071579097112,2,18446744071579341207
12634,293186570,10,18446744071586241966,2,18446744071586754388
12493,343652365,13,18446744071585244721,2,18446744071585240305
235,512549903,15,18446744071586241966,2,18446744071585941357
7793,172536838,6,18446744071579401806,2,18446744071586915625
562,236120070,6,18446744071583818840,2,18446744071589333584
101,253778953,9,18446744071579343735,2,18446744071579401693
5383,377461777,17,18446744071586035527,2,18446744071586035497
4520,290903058,18,18446744071578998846,2,18446744071578860750
6080,335595529,9,18446744071585915856,2,18446744071585940650
340,106574854,6,18446744071585234658,2,18446744071585233144
11130,478711820,12,18446744071586017214,2,18446744071579521088
14832,455670793,9,18446744071586050400,2,18446744071586062028
360,128017440,32,18446744071579530243,2,18446744071585999318
6761,160571401,9,18446744071585915801,2,18446744071585941797
8549,382363666,18,18446744071585554477,2,18446744071585554503
3052,29576198,6,18446744071585233908,2,18446744071585216894
7514,200828934,6,18446744071585590243,2,18446744071585581564
2240,166449158,6,18446744071586035270,2,18446744071586035078
3544,523886598,6,18446744071580408428,2,18446744071580408734
8549,213838861,13,18446744071585590243,2,18446744071585554503
7104,477693958,6,18446744071585915801,2,18446744071585991804
4694,175649798,6,18446744071585166099,2,18446744071585138326
9749,521726985,9,140323041630842,2,140322915213861
7589,503442448,16,18446744071585948323,2,18446744071585554577
3533,261154822,6,18446744071585975111,2,18446744071585164219
9757,498600969,9,18446744071585150903,2,18446744071585164171
9352,19006477,13,140322915204641,2,140323376776028
5972,489331721,9,140323035482746,2,140323035468232
5648,348813318,6,18446744071586029659,2,18446744071586033616
7850,232339462,6,18446744071586028939,2,18446744071585167340
2053,492958726,6,18446744071578860254,2,18446744071586904797
13098,174625798,6,18446744071585166099,2,18446744071586003268
10244,509533210,26,140323390768850,64,140323390768906
6918,404951046,6,18446744071586061922,2,18446744071585932084
38,80294918,6,18446744071586006586,2,18446744071586004510
7827,448896009,9,18446744071586869927,2,18446744071586016645
11697,173034502,6,18446744071586017730,2,18446744071586014531
316,318322709,21,18446744071579354919,2,18446744071579421184
15911,199755788,12,18446744071585137979,2,18446744071585137967
14022,505487366,6,18446744071586869648,2,18446744071586016716
10228,197318666,10,18446744071586869974,2,18446744071586004076
661,464583697,17,18446744071587234234,2,18446744071587234219
3249,360793097,9,18446744071589331066,2,18446744071585244741
7415,511195142,6,18446744071585234689,2,18446744071585233311
6243,258107401,9,18446744071586052423,2,18446744071585962323
16262,486069261,13,18446744071579530209,2,18446744071586029684
839,395854854,6,18446744071585150225,2,18446744071586034091
